user_id,post_id,Article,Author,Categories,Views
4,1447,International Youth Day is Celebrated in Phnom Penh,Hongseng Rov,Festival,117
4,1249,Preserving Traditional Khmer Arts,Chansamnang Sim,Arts & Culture,264
5,986,$106m Collected in Unpaid Vehicle Tax,Mengheng Seng,Economy,113
5,940,2022 Under Review,Chan Thul Prak,Business,124
5,2532,AI Revolutionizing the CambodiaÂ’s Banking and Finance Sector,staff writers Kiripost,Finance & Banking,4
5,1786,CambodiaÂ’s Indigenous People Celebrated,Sreypich Mao,Festival,71
5,1653,"Matt DillonÂ’s Love of Cambodia, Â‘City of GhostsÂ’ and his Return",Carruthers Marissa,Festival,809
5,943,Â‘The Last Breath of the Tonle SapÂ’ at Angkor Photo Festival,Carruthers Marissa,Environment,131
5,1024,Automotive and Electronics Sectors to Receive $2b Cash Boost,Molika Meas,Tech,344
5,1030,$200m GovÂ’t Bond to Set Benchmark,Chan Thul Prak,Economy,30
5,942,PM Calls for Conservation Areas to Protect Dolphins,Molika Meas,Environment,44
5,2177,Discover the Charm of Kampot,Carruthers Marissa,Travel,307
6,947,Cashew Exports Fall by 34.65%,Mengheng Seng,Business,209
6,1418,Exhibition Highlights Art of Drag Queens,Sreypich Mao,Arts & Culture,183
6,942,PM Calls for Conservation Areas to Protect Dolphins,Molika Meas,Environment,44
6,1040,Digitizing CambodiaÂ’s Health Sector,staff writers Kiripost,Tech,401
6,956,Talking Business with Entrepreneurship Guru Stephen Paterson,Tharum Bun,Business,697
6,1073,Cambodian Academics Debate Chatbot Pros and Cons,Hongseng Rov,Education,529
6,2473,Visions of Angkor: Unseen Images,Carruthers Marissa,Travel,273
6,986,$106m Collected in Unpaid Vehicle Tax,Mengheng Seng,Economy,113
6,1134,Exhibit Offers New Perspectives,Carruthers Marissa,Arts & Culture,239
6,1068,Recruitment Drive for Teachers and Officials After Two-Year Freeze,Mengheng Seng,Education,49
7,1078,Film Buffs Prepare for European Film Festival Cambodia,Carruthers Marissa,Festival,37
7,1249,Preserving Traditional Khmer Arts,Chansamnang Sim,Arts & Culture,264
7,951,Tributes Paid to Â“FearlessÂ” Journalist Nate Thayer,Carruthers Marissa,Health,196
7,999,Exhibit Urges Rainforest and Wildlife Conservation,Chan Thul Prak,Environment,106
7,948,2023: A Gloomy Outlook of Continued Recovery Amid Global Strife,Chan Thul Prak,Business,207
7,1231,"National Science, Technology and Innovation Day Launched",staff writers Kiripost,Festival,172
7,1052,Calls to Extend Maternity Leave to Six Months,Molika Meas,Economy,124
7,1074,Training to Stamp Out Illegal Trafficking of Cultural Heritage Launches,Chan Thul Prak,Arts & Culture,97
7,940,2022 Under Review,Chan Thul Prak,Business,124
7,1024,Automotive and Electronics Sectors to Receive $2b Cash Boost,Molika Meas,Tech,344
8,941,$114m Bridge to be Built Over Mekong River in Kratie,Raksmey Chhorn,Business,38
8,946,From Finance to Pioneering CambodiaÂ’s Animation Sector,Raksmey Chhorn,Tech,214
8,1197,Sihanoukville Selected to Transform into Smart City,Sreypich Mao,Environment,343
8,2177,Discover the Charm of Kampot,Carruthers Marissa,Travel,307
8,2573,Wing Bank Wins 3 Prestigious Mastercard Awards,staff writers Kiripost,Finance & Banking,106
8,983,CambodiaÂ’s Economy Slated to Grow 6% in 2023,Sreypich Mao,Economy,118
8,1074,Training to Stamp Out Illegal Trafficking of Cultural Heritage Launches,Chan Thul Prak,Arts & Culture,97
8,999,Exhibit Urges Rainforest and Wildlife Conservation,Chan Thul Prak,Environment,106
8,1027,Cambodia Pins Hopes on Removal from Money Laundering Watchlist,Chan Thul Prak,Economy,96
8,942,PM Calls for Conservation Areas to Protect Dolphins,Molika Meas,Environment,44
9,946,From Finance to Pioneering CambodiaÂ’s Animation Sector,Raksmey Chhorn,Tech,214
9,983,CambodiaÂ’s Economy Slated to Grow 6% in 2023,Sreypich Mao,Economy,118
9,940,2022 Under Review,Chan Thul Prak,Business,124
9,1000,Dry Season Floods Plague Kandal and Phnom Penh,Raksmey Chhorn,Environment,133
9,1786,CambodiaÂ’s Indigenous People Celebrated,Sreypich Mao,Festival,71
9,994,From Phnom Penh to Silicon Valley,Tharum Bun,Tech,7068
9,940,2022 Under Review,Chan Thul Prak,Business,124
9,1250,Upcycling Fashion,Molika Meas,Arts & Culture,299
9,953,DNA Tests Start on Six Unidentified Bodies from Poipet Casino Blaze,Chan Thul Prak,Business,31
9,948,2023: A Gloomy Outlook of Continued Recovery Amid Global Strife,Chan Thul Prak,Business,207
10,2669,NBC and UnionPay International Start Cross-Border QR Code Payments,Sreypich Mao,Finance & Banking,71
10,953,DNA Tests Start on Six Unidentified Bodies from Poipet Casino Blaze,Chan Thul Prak,Business,31
10,1054,Tributes Paid to Long-serving Journalist,Carruthers Marissa,Health,82
10,1418,Exhibition Highlights Art of Drag Queens,Sreypich Mao,Arts & Culture,183
10,1107,Social Protection Scheme Bolsters NationÂ’s Healthcare,Molika Meas,Health,55
10,1053,National Domain Name Rolled Out,Mengheng Seng,Tech,110
10,962,"Call to Pull Plug on Re-Release of ""Provocative"" Song",Sreypich Mao,Arts & Culture,36
10,946,From Finance to Pioneering CambodiaÂ’s Animation Sector,Raksmey Chhorn,Tech,214
10,947,Cashew Exports Fall by 34.65%,Mengheng Seng,Business,209
10,943,Â‘The Last Breath of the Tonle SapÂ’ at Angkor Photo Festival,Carruthers Marissa,Environment,131
11,1532,"Travellers Demand Immersive Experiences, Says Phare Circus",Carruthers Marissa,Travel,27
11,948,2023: A Gloomy Outlook of Continued Recovery Amid Global Strife,Chan Thul Prak,Business,207
11,2611,"Close Trade Finance Gap in Cambodia, Mekong Region",Amarthalingam Sangeetha,Finance & Banking,98
11,1033,WHO to Help ID Toxic Levels in Confiscated Cough Syrups,Raksmey Chhorn,Health,23
11,953,DNA Tests Start on Six Unidentified Bodies from Poipet Casino Blaze,Chan Thul Prak,Business,31
11,1250,Upcycling Fashion,Molika Meas,Arts & Culture,299
11,1024,Automotive and Electronics Sectors to Receive $2b Cash Boost,Molika Meas,Tech,344
11,1208,Priceless Khmer Treasures Return Home,Raksmey Chhorn,Arts & Culture,32
11,1256,Ox Cart Races Return to Kampong Speu,staff writers Kiripost,Festival,73
11,2758,The Rise of Mixed-Use Developments,Carruthers Marissa,Travel,6
12,954,"Angkor Wat Ticket Sales Soar by 2,000%",Sreypich Mao,Business,125
12,1532,"Travellers Demand Immersive Experiences, Says Phare Circus",Carruthers Marissa,Travel,27
12,1120,Precious Angkorian Relics Returned to the Kingdom,Mengheng Seng,Arts & Culture,60
12,1033,WHO to Help ID Toxic Levels in Confiscated Cough Syrups,Raksmey Chhorn,Health,23
12,1208,Priceless Khmer Treasures Return Home,Raksmey Chhorn,Arts & Culture,32
12,1026,Construction Sector Faces Â“Credit CrunchÂ”,Chan Thul Prak,Economy,242
12,1249,Preserving Traditional Khmer Arts,Chansamnang Sim,Arts & Culture,264
12,1054,Tributes Paid to Long-serving Journalist,Carruthers Marissa,Health,82
12,2573,Wing Bank Wins 3 Prestigious Mastercard Awards,staff writers Kiripost,Finance & Banking,106
12,951,Tributes Paid to Â“FearlessÂ” Journalist Nate Thayer,Carruthers Marissa,Health,196
13,2573,Wing Bank Wins 3 Prestigious Mastercard Awards,staff writers Kiripost,Finance & Banking,106
13,957,ACLEDA Bank Opens 264th Branch Seven Days a Week,staff writers Kiripost,Business,69
13,994,From Phnom Penh to Silicon Valley,Tharum Bun,Tech,7068
13,1084,City Slums Aware of Cleanliness but Aggrieved by Poor Sanitation and Floods,Amarthalingam Sangeetha,Environment,77
13,1250,Upcycling Fashion,Molika Meas,Arts & Culture,299
13,1134,Exhibit Offers New Perspectives,Carruthers Marissa,Arts & Culture,239
13,1054,Tributes Paid to Long-serving Journalist,Carruthers Marissa,Health,82
13,940,2022 Under Review,Chan Thul Prak,Business,124
13,1020,Free Vocational Training for 1.5m Students in 2024,Mengheng Seng,Education,81
13,962,"Call to Pull Plug on Re-Release of ""Provocative"" Song",Sreypich Mao,Arts & Culture,36
14,956,Talking Business with Entrepreneurship Guru Stephen Paterson,Tharum Bun,Business,697
14,1205,Tackling Access to Water in Cambodia,Carruthers Marissa,Environment,42
14,1532,"Travellers Demand Immersive Experiences, Says Phare Circus",Carruthers Marissa,Travel,27
14,1413,Hollywood Star Matt Dillon Named Patron of CIFF,Carruthers Marissa,Festival,108
14,2473,Visions of Angkor: Unseen Images,Carruthers Marissa,Travel,273
14,1040,Digitizing CambodiaÂ’s Health Sector,staff writers Kiripost,Tech,401
14,1054,Tributes Paid to Long-serving Journalist,Carruthers Marissa,Health,82
14,1138,Rearing CambodiaÂ’s Buffalo Milk Market,Mengheng Seng,Health,363
14,2523,Cambodian Banks Â‘Not Laughing All The WayÂ’ as Profits Drop,Amarthalingam Sangeetha,Finance & Banking,2484
14,957,ACLEDA Bank Opens 264th Branch Seven Days a Week,staff writers Kiripost,Business,69
15,1080,"SERC, CSX Review MJQEÂ’s Mainboard IPO Application",Amarthalingam Sangeetha,Education,345
15,1020,Free Vocational Training for 1.5m Students in 2024,Mengheng Seng,Education,81
15,2393,Finding Charm in ThailandÂ’s Chiang Mai,Raksmey Chhorn,Travel,91
15,951,Tributes Paid to Â“FearlessÂ” Journalist Nate Thayer,Carruthers Marissa,Health,196
15,2758,The Rise of Mixed-Use Developments,Carruthers Marissa,Travel,6
15,950,International Jewelry Manufacturer to Open Cambodian Factory in 2024,Raksmey Chhorn,Business,189
15,2523,Cambodian Banks Â‘Not Laughing All The WayÂ’ as Profits Drop,Amarthalingam Sangeetha,Finance & Banking,2484
15,2572,Initiative Aims to Support Women Access Finance,Sinorn Thang,Finance & Banking,38
15,2573,Wing Bank Wins 3 Prestigious Mastercard Awards,staff writers Kiripost,Finance & Banking,106
15,943,Â‘The Last Breath of the Tonle SapÂ’ at Angkor Photo Festival,Carruthers Marissa,Environment,131
16,1068,Recruitment Drive for Teachers and Officials After Two-Year Freeze,Mengheng Seng,Education,49
16,2562,MoU to Promote Climate Resilience,Sreypich Mao,Finance & Banking,41
16,2540,AI Revolutionizing CambodiaÂ’s Banking and Finance Sector,Molika Meas,Finance & Banking,438
16,1073,Cambodian Academics Debate Chatbot Pros and Cons,Hongseng Rov,Education,529
16,970,CDRI Marks Three Decades of Research to Help Develop the Nation,Carruthers Marissa,Education,47
16,1193,A $42.8m Project to Help Vulnerable Adapt to Climate Change Given Green Light,Malai Yatt,Environment,104
16,941,$114m Bridge to be Built Over Mekong River in Kratie,Raksmey Chhorn,Business,38
16,955,Kiripost and BBC Media Action Roll Out Journalism Training Program,staff writers Kiripost,Education,127
16,942,PM Calls for Conservation Areas to Protect Dolphins,Molika Meas,Environment,44
16,2523,Cambodian Banks Â‘Not Laughing All The WayÂ’ as Profits Drop,Amarthalingam Sangeetha,Finance & Banking,2484
17,2633,Vietjet Touches Down in Siem Reap,staff writers Kiripost,Travel,58
17,2393,Finding Charm in ThailandÂ’s Chiang Mai,Raksmey Chhorn,Travel,91
17,1249,Preserving Traditional Khmer Arts,Chansamnang Sim,Arts & Culture,264
17,956,Talking Business with Entrepreneurship Guru Stephen Paterson,Tharum Bun,Business,697
17,1208,Priceless Khmer Treasures Return Home,Raksmey Chhorn,Arts & Culture,32
17,991,"MOU Signing Between UYFC and EZECOM on ""Digital Collaboration""",staff writers Kiripost,Tech,170
17,952,ACLEDA Bank Reports Double Digit Growth In 2022,Chan Thul Prak,Business,325
17,1137,Father of Girl Who Died of Bird Flu Tests Positive,Mengheng Seng,Health,28
17,941,$114m Bridge to be Built Over Mekong River in Kratie,Raksmey Chhorn,Business,38
17,1107,Social Protection Scheme Bolsters NationÂ’s Healthcare,Molika Meas,Health,55
18,2532,AI Revolutionizing the CambodiaÂ’s Banking and Finance Sector,staff writers Kiripost,Finance & Banking,4
18,1205,Tackling Access to Water in Cambodia,Carruthers Marissa,Environment,42
18,983,CambodiaÂ’s Economy Slated to Grow 6% in 2023,Sreypich Mao,Economy,118
18,1250,Upcycling Fashion,Molika Meas,Arts & Culture,299
18,970,CDRI Marks Three Decades of Research to Help Develop the Nation,Carruthers Marissa,Education,47
18,2758,The Rise of Mixed-Use Developments,Carruthers Marissa,Travel,6
18,1193,A $42.8m Project to Help Vulnerable Adapt to Climate Change Given Green Light,Malai Yatt,Environment,104
18,1074,Training to Stamp Out Illegal Trafficking of Cultural Heritage Launches,Chan Thul Prak,Arts & Culture,97
18,956,Talking Business with Entrepreneurship Guru Stephen Paterson,Tharum Bun,Business,697
18,2523,Cambodian Banks Â‘Not Laughing All The WayÂ’ as Profits Drop,Amarthalingam Sangeetha,Finance & Banking,2484
19,1135,Bird Flu Kills Girl in Prey Veng,Mengheng Seng,Health,25
19,2305,France Marks 70th Anniversary of Cambodia's Independence,Carruthers Marissa,Festival,54
19,1040,Digitizing CambodiaÂ’s Health Sector,staff writers Kiripost,Tech,401
19,1033,WHO to Help ID Toxic Levels in Confiscated Cough Syrups,Raksmey Chhorn,Health,23
19,2468,"MFIs to Restructure Tourism, Real Estate Loans",Amarthalingam Sangeetha,Finance & Banking,160
19,1256,Ox Cart Races Return to Kampong Speu,staff writers Kiripost,Festival,73
19,1120,Precious Angkorian Relics Returned to the Kingdom,Mengheng Seng,Arts & Culture,60
19,1029,PM Slams School for Barbering BoysÂ’ Hair,Raksmey Chhorn,Education,25
19,1786,CambodiaÂ’s Indigenous People Celebrated,Sreypich Mao,Festival,71
19,994,From Phnom Penh to Silicon Valley,Tharum Bun,Tech,7068
20,1208,Priceless Khmer Treasures Return Home,Raksmey Chhorn,Arts & Culture,32
20,1033,WHO to Help ID Toxic Levels in Confiscated Cough Syrups,Raksmey Chhorn,Health,23
20,1084,City Slums Aware of Cleanliness but Aggrieved by Poor Sanitation and Floods,Amarthalingam Sangeetha,Environment,77
20,1040,Digitizing CambodiaÂ’s Health Sector,staff writers Kiripost,Tech,401
20,947,Cashew Exports Fall by 34.65%,Mengheng Seng,Business,209
20,1030,$200m GovÂ’t Bond to Set Benchmark,Chan Thul Prak,Economy,30
20,942,PM Calls for Conservation Areas to Protect Dolphins,Molika Meas,Environment,44
20,2473,Visions of Angkor: Unseen Images,Carruthers Marissa,Travel,273
20,1029,PM Slams School for Barbering BoysÂ’ Hair,Raksmey Chhorn,Education,25
20,1786,CambodiaÂ’s Indigenous People Celebrated,Sreypich Mao,Festival,71
21,986,$106m Collected in Unpaid Vehicle Tax,Mengheng Seng,Economy,113
21,991,"MOU Signing Between UYFC and EZECOM on ""Digital Collaboration""",staff writers Kiripost,Tech,170
21,955,Kiripost and BBC Media Action Roll Out Journalism Training Program,staff writers Kiripost,Education,127
21,1323,Fashion Show Throws Spotlight on River Pollution,Molika Meas,Arts & Culture,287
21,2598,PM Calls on Vietjet to Increase Flights to Cambodia,Carruthers Marissa,Travel,41
21,1532,"Travellers Demand Immersive Experiences, Says Phare Circus",Carruthers Marissa,Travel,27
21,958,Metfone Crowned Best Company to Work for in Asia,staff writers Kiripost,Tech,36
21,970,CDRI Marks Three Decades of Research to Help Develop the Nation,Carruthers Marissa,Education,47
21,983,CambodiaÂ’s Economy Slated to Grow 6% in 2023,Sreypich Mao,Economy,118
21,2393,Finding Charm in ThailandÂ’s Chiang Mai,Raksmey Chhorn,Travel,91
22,2573,Wing Bank Wins 3 Prestigious Mastercard Awards,staff writers Kiripost,Finance & Banking,106
22,1135,Bird Flu Kills Girl in Prey Veng,Mengheng Seng,Health,25
22,2293,Halloween Celebrations Thrill Siem Reap,Sreypich Mao,Festival,52
22,2679,Staying Safe on the Roads During Holiday Season,PichBormey Chhim,Travel,49
22,970,CDRI Marks Three Decades of Research to Help Develop the Nation,Carruthers Marissa,Education,47
22,1323,Fashion Show Throws Spotlight on River Pollution,Molika Meas,Arts & Culture,287
22,1138,Rearing CambodiaÂ’s Buffalo Milk Market,Mengheng Seng,Health,363
22,1107,Social Protection Scheme Bolsters NationÂ’s Healthcare,Molika Meas,Health,55
22,2523,Cambodian Banks Â‘Not Laughing All The WayÂ’ as Profits Drop,Amarthalingam Sangeetha,Finance & Banking,2484
22,1137,Father of Girl Who Died of Bird Flu Tests Positive,Mengheng Seng,Health,28
23,2573,Wing Bank Wins 3 Prestigious Mastercard Awards,staff writers Kiripost,Finance & Banking,106
23,954,"Angkor Wat Ticket Sales Soar by 2,000%",Sreypich Mao,Business,125
23,1231,"National Science, Technology and Innovation Day Launched",staff writers Kiripost,Festival,172
23,1026,Construction Sector Faces Â“Credit CrunchÂ”,Chan Thul Prak,Economy,242
23,1052,Calls to Extend Maternity Leave to Six Months,Molika Meas,Economy,124
23,955,Kiripost and BBC Media Action Roll Out Journalism Training Program,staff writers Kiripost,Education,127
23,1053,National Domain Name Rolled Out,Mengheng Seng,Tech,110
23,1208,Priceless Khmer Treasures Return Home,Raksmey Chhorn,Arts & Culture,32
23,948,2023: A Gloomy Outlook of Continued Recovery Amid Global Strife,Chan Thul Prak,Business,207
23,1135,Bird Flu Kills Girl in Prey Veng,Mengheng Seng,Health,25
24,1026,Construction Sector Faces Â“Credit CrunchÂ”,Chan Thul Prak,Economy,242
24,2572,Initiative Aims to Support Women Access Finance,Sinorn Thang,Finance & Banking,38
24,2611,"Close Trade Finance Gap in Cambodia, Mekong Region",Amarthalingam Sangeetha,Finance & Banking,98
24,1054,Tributes Paid to Long-serving Journalist,Carruthers Marissa,Health,82
24,2523,Cambodian Banks Â‘Not Laughing All The WayÂ’ as Profits Drop,Amarthalingam Sangeetha,Finance & Banking,2484
24,1073,Cambodian Academics Debate Chatbot Pros and Cons,Hongseng Rov,Education,529
24,948,2023: A Gloomy Outlook of Continued Recovery Amid Global Strife,Chan Thul Prak,Business,207
24,1020,Free Vocational Training for 1.5m Students in 2024,Mengheng Seng,Education,81
24,950,International Jewelry Manufacturer to Open Cambodian Factory in 2024,Raksmey Chhorn,Business,189
24,2573,Wing Bank Wins 3 Prestigious Mastercard Awards,staff writers Kiripost,Finance & Banking,106
25,941,$114m Bridge to be Built Over Mekong River in Kratie,Raksmey Chhorn,Business,38
25,1040,Digitizing CambodiaÂ’s Health Sector,staff writers Kiripost,Tech,401
25,2288,Photo Phnom Penh Festival Returns in December,Sokeo Mon,Festival,188
25,952,ACLEDA Bank Reports Double Digit Growth In 2022,Chan Thul Prak,Business,325
25,946,From Finance to Pioneering CambodiaÂ’s Animation Sector,Raksmey Chhorn,Tech,214
25,2679,Staying Safe on the Roads During Holiday Season,PichBormey Chhim,Travel,49
25,1005,MoH Dishes Out CNY Health Warnings,Molika Meas,Health,32
25,984,Born to Engineer,Tharum Bun,Education,84
25,1786,CambodiaÂ’s Indigenous People Celebrated,Sreypich Mao,Festival,71
25,1532,"Travellers Demand Immersive Experiences, Says Phare Circus",Carruthers Marissa,Travel,27
26,2305,France Marks 70th Anniversary of Cambodia's Independence,Carruthers Marissa,Festival,54
26,1786,CambodiaÂ’s Indigenous People Celebrated,Sreypich Mao,Festival,71
26,942,PM Calls for Conservation Areas to Protect Dolphins,Molika Meas,Environment,44
26,1023,Warning Issued Over Lethal Contaminated Cough Syrup,Carruthers Marissa,Health,68
26,1000,Dry Season Floods Plague Kandal and Phnom Penh,Raksmey Chhorn,Environment,133
26,1323,Fashion Show Throws Spotlight on River Pollution,Molika Meas,Arts & Culture,287
26,952,ACLEDA Bank Reports Double Digit Growth In 2022,Chan Thul Prak,Business,325
26,2540,AI Revolutionizing CambodiaÂ’s Banking and Finance Sector,Molika Meas,Finance & Banking,438
26,1054,Tributes Paid to Long-serving Journalist,Carruthers Marissa,Health,82
26,1017,Legal Recognition of LGBT Families Essential for Social Integration,Carruthers Marissa,Education,67
27,2572,Initiative Aims to Support Women Access Finance,Sinorn Thang,Finance & Banking,38
27,2473,Visions of Angkor: Unseen Images,Carruthers Marissa,Travel,273
27,2633,Vietjet Touches Down in Siem Reap,staff writers Kiripost,Travel,58
27,978,CSX Sets Ambitious Targets for 2023 as GDP Picks Up,staff writers Kiripost,Economy,85
27,954,"Angkor Wat Ticket Sales Soar by 2,000%",Sreypich Mao,Business,125
27,2598,PM Calls on Vietjet to Increase Flights to Cambodia,Carruthers Marissa,Travel,41
27,1205,Tackling Access to Water in Cambodia,Carruthers Marissa,Environment,42
27,1080,"SERC, CSX Review MJQEÂ’s Mainboard IPO Application",Amarthalingam Sangeetha,Education,345
27,1023,Warning Issued Over Lethal Contaminated Cough Syrup,Carruthers Marissa,Health,68
27,1027,Cambodia Pins Hopes on Removal from Money Laundering Watchlist,Chan Thul Prak,Economy,96
28,978,CSX Sets Ambitious Targets for 2023 as GDP Picks Up,staff writers Kiripost,Economy,85
28,1078,Film Buffs Prepare for European Film Festival Cambodia,Carruthers Marissa,Festival,37
28,2758,The Rise of Mixed-Use Developments,Carruthers Marissa,Travel,6
28,983,CambodiaÂ’s Economy Slated to Grow 6% in 2023,Sreypich Mao,Economy,118
28,1205,Tackling Access to Water in Cambodia,Carruthers Marissa,Environment,42
28,943,Â‘The Last Breath of the Tonle SapÂ’ at Angkor Photo Festival,Carruthers Marissa,Environment,131
28,1084,City Slums Aware of Cleanliness but Aggrieved by Poor Sanitation and Floods,Amarthalingam Sangeetha,Environment,77
28,1030,$200m GovÂ’t Bond to Set Benchmark,Chan Thul Prak,Economy,30
28,1029,PM Slams School for Barbering BoysÂ’ Hair,Raksmey Chhorn,Education,25
28,995,Talks to Set Legal Age to Buy Alcohol at 18,Carruthers Marissa,Health,234
29,1135,Bird Flu Kills Girl in Prey Veng,Mengheng Seng,Health,25
29,1653,"Matt DillonÂ’s Love of Cambodia, Â‘City of GhostsÂ’ and his Return",Carruthers Marissa,Festival,809
29,994,From Phnom Penh to Silicon Valley,Tharum Bun,Tech,7068
29,1005,MoH Dishes Out CNY Health Warnings,Molika Meas,Health,32
29,1120,Precious Angkorian Relics Returned to the Kingdom,Mengheng Seng,Arts & Culture,60
29,1080,"SERC, CSX Review MJQEÂ’s Mainboard IPO Application",Amarthalingam Sangeetha,Education,345
29,2562,MoU to Promote Climate Resilience,Sreypich Mao,Finance & Banking,41
29,1786,CambodiaÂ’s Indigenous People Celebrated,Sreypich Mao,Festival,71
29,2669,NBC and UnionPay International Start Cross-Border QR Code Payments,Sreypich Mao,Finance & Banking,71
29,2540,AI Revolutionizing CambodiaÂ’s Banking and Finance Sector,Molika Meas,Finance & Banking,438
30,1000,Dry Season Floods Plague Kandal and Phnom Penh,Raksmey Chhorn,Environment,133
30,1020,Free Vocational Training for 1.5m Students in 2024,Mengheng Seng,Education,81
30,1080,"SERC, CSX Review MJQEÂ’s Mainboard IPO Application",Amarthalingam Sangeetha,Education,345
30,986,$106m Collected in Unpaid Vehicle Tax,Mengheng Seng,Economy,113
30,940,2022 Under Review,Chan Thul Prak,Business,124
30,1033,WHO to Help ID Toxic Levels in Confiscated Cough Syrups,Raksmey Chhorn,Health,23
30,999,Exhibit Urges Rainforest and Wildlife Conservation,Chan Thul Prak,Environment,106
30,2523,Cambodian Banks Â‘Not Laughing All The WayÂ’ as Profits Drop,Amarthalingam Sangeetha,Finance & Banking,2484
30,2758,The Rise of Mixed-Use Developments,Carruthers Marissa,Travel,6
30,1034,Slowing Inflation Fails to Ease Cost-of-Living Burden,Sreypich Mao,Economy,212
31,1054,Tributes Paid to Long-serving Journalist,Carruthers Marissa,Health,82
31,1137,Father of Girl Who Died of Bird Flu Tests Positive,Mengheng Seng,Health,28
31,1249,Preserving Traditional Khmer Arts,Chansamnang Sim,Arts & Culture,264
31,1017,Legal Recognition of LGBT Families Essential for Social Integration,Carruthers Marissa,Education,67
31,2293,Halloween Celebrations Thrill Siem Reap,Sreypich Mao,Festival,52
31,1193,A $42.8m Project to Help Vulnerable Adapt to Climate Change Given Green Light,Malai Yatt,Environment,104
31,1181,The Potential Power of Solar in Cambodia,Sreypich Mao,Environment,1046
31,955,Kiripost and BBC Media Action Roll Out Journalism Training Program,staff writers Kiripost,Education,127
31,2532,AI Revolutionizing the CambodiaÂ’s Banking and Finance Sector,staff writers Kiripost,Finance & Banking,4
31,983,CambodiaÂ’s Economy Slated to Grow 6% in 2023,Sreypich Mao,Economy,118
32,1026,Construction Sector Faces Â“Credit CrunchÂ”,Chan Thul Prak,Economy,242
32,1020,Free Vocational Training for 1.5m Students in 2024,Mengheng Seng,Education,81
32,957,ACLEDA Bank Opens 264th Branch Seven Days a Week,staff writers Kiripost,Business,69
32,1250,Upcycling Fashion,Molika Meas,Arts & Culture,299
32,956,Talking Business with Entrepreneurship Guru Stephen Paterson,Tharum Bun,Business,697
